Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.080000,889.892395,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.090000,876.724548,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.100000,857.534973,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.200000,843.964783,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.300000,802.915161,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.400000,740.946411,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.500000,751.063354,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.600000,735.463745,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.700000,730.984070,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.800000,771.192749,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.900000,756.419739,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,50,0.010000,0.000000,2299.510986,0.018425,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,93,0.010000,0.010000,1243.994385,0.009059,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,93,0.010000,0.020000,1223.360352,0.009059,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.030000,832.940613,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.040000,876.645447,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.050000,863.713989,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.060000,868.732727,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.070000,852.463562,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.080000,838.442505,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.090000,823.204102,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.100000,1002.660645,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.200000,917.058044,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.300000,797.099487,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.400000,715.459961,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.500000,727.256714,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.600000,765.735291,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.700000,830.534546,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.800000,722.752441,0.004887,DiversiTree
fiber(50),0.010000,0.050000,0.000000,0,50,83,0.010000,0.900000,840.955933,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,50,0.010000,0.000000,2418.688721,0.018425,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,93,0.010000,0.010000,1464.062866,0.009059,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,93,0.010000,0.020000,1567.012451,0.009059,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.030000,1185.739014,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.040000,1070.944702,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.050000,1174.629639,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.060000,1166.663574,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.070000,1131.890869,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.080000,958.225342,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.090000,827.875732,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.100000,879.682861,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.200000,929.206177,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.300000,901.653381,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.400000,781.820374,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.500000,917.139099,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.600000,880.837341,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.700000,879.859375,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.800000,780.528503,0.004887,DiversiTree
fiber(50),0.010000,0.060000,0.000000,0,50,83,0.010000,0.900000,723.271912,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,50,0.010000,0.000000,2330.253174,0.018425,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,93,0.010000,0.010000,1230.306763,0.009059,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,93,0.010000,0.020000,1381.398438,0.009059,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.030000,988.900757,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.040000,1068.125488,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.050000,907.150940,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.060000,902.926880,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.070000,904.305359,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.080000,862.031677,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.090000,836.149170,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.100000,842.276062,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.200000,855.809570,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.300000,787.677063,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.400000,741.619995,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.500000,692.976257,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.600000,780.474854,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.700000,767.850708,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.800000,769.072571,0.004887,DiversiTree
fiber(50),0.010000,0.070000,0.000000,0,50,83,0.010000,0.900000,754.398499,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,50,0.010000,0.000000,2295.439209,0.018425,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,93,0.010000,0.010000,1320.142456,0.009059,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,93,0.010000,0.020000,1398.079102,0.009059,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.030000,955.783569,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.040000,918.637146,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.050000,884.783630,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.060000,922.038879,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.070000,954.891479,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.080000,880.035767,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.090000,870.744446,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.100000,944.784851,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.200000,871.465698,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.300000,776.697693,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.400000,763.719971,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.500000,727.819092,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.600000,689.168823,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.700000,708.638367,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.800000,741.696289,0.004887,DiversiTree
fiber(50),0.010000,0.080000,0.000000,0,50,83,0.010000,0.900000,724.109314,0.004887,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,50,0.010000,0.000000,2308.785645,0.018425,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,93,0.010000,0.010000,1268.257080,0.009059,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,93,0.010000,0.020000,1248.557251,0.009059,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,83,0.010000,0.030000,976.708740,0.004887,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,83,0.010000,0.040000,877.187988,0.004887,DiversiTree
fiber(50),0.010000,0.090000,0.000000,0,50,83,0.010000,0.050000,959.647339,0.004887,DiversiTree
