Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.010000,537.061279,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.020000,618.955261,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.030000,652.401001,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.040000,543.724304,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.050000,548.858521,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.060000,605.659973,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.070000,557.271545,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.080000,575.390930,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.090000,549.807678,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.100000,569.410645,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.200000,578.778809,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.300000,541.372620,0.148050,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.400000,508.318115,0.153573,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.500000,642.585632,0.180022,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.600000,561.664368,0.183540,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.700000,521.148254,0.171078,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.800000,425.940308,0.169902,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.900000,386.909363,0.174128,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.000000,577.580322,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.010000,584.608887,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.020000,608.736694,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.030000,627.245728,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.040000,623.724731,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.050000,607.508545,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.060000,586.695496,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.070000,602.937683,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.080000,612.044495,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.090000,605.308777,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.100000,628.511841,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.200000,627.047852,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.300000,522.227905,0.148050,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.400000,644.177795,0.184585,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.500000,665.480164,0.181492,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.600000,564.176331,0.179324,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.700000,479.095947,0.181394,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.800000,519.167053,0.173562,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.900000,379.220581,0.174128,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.000000,691.124390,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.010000,655.587097,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.020000,629.485352,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.030000,580.618286,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.040000,608.241272,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.050000,566.135559,0.142374,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.060000,585.107056,0.142374,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.070000,582.242371,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.080000,575.274902,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.090000,561.588989,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.100000,570.811462,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.200000,558.932434,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.300000,551.710571,0.146263,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.400000,617.856934,0.181002,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.500000,628.114319,0.174553,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.600000,553.760010,0.183540,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.700000,504.528839,0.181394,DiversiTree
gen(50),0.010000,0.040000,0.000000,0,50,51,0.010000,0.800000,458.652832,0.172778,DiversiTree
