Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.07,1530.461182,0.150223,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.08,1511.184692,0.150223,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.09,1537.417603,0.150223,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.1,1518.817261,0.150223,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.2,1927.963745,0.190641,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.3,1533.44043,0.173864,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.4,1520.13623,0.179357,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.5,1340.903442,0.166744,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.6,1435.857422,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.7,1119.333008,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.8,899.128662,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.04,0,0,100,101,0.01,0.9,662.358582,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0,2078.901611,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.01,2017.957642,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.02,1997.950317,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.03,1574.911011,0.138186,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.04,2002.59021,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.05,1956.811035,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.06,1987.134888,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.07,1972.703003,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.08,1929.654907,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.09,1908.616211,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.1,1893.729248,0.182594,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.2,1795.41394,0.170297,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.3,1677.802979,0.181491,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.4,1506.353638,0.18041,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.5,1304.847656,0.166744,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.6,1343.094971,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.7,1033.646729,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.8,873.728271,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.05,0,0,100,101,0.01,0.9,626.460144,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0,1842.594971,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.01,1829.808472,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.02,1850.156128,0.151131,DiversiTree,,,,,,,,,,,,
